site,cluster,node,architecture,cpu_model,cpu_microarchitecture,cpu_count,cores,ram_gb,gpu_model,network_max_gbps,storage_device_count
grenoble,chartreuse2,chartreuse2-1,x86_64,Intel Xeon,Broadwell,2,20,32.0,None,10.0,1
grenoble,chartreuse2,chartreuse2-2,x86_64,Intel Xeon,Broadwell,2,20,32.0,None,10.0,1
grenoble,chartreuse2,chartreuse2-3,x86_64,Intel Xeon,Broadwell,2,20,32.0,None,10.0,1
grenoble,chartreuse2,chartreuse2-4,x86_64,Intel Xeon,Broadwell,2,20,32.0,None,10.0,1
grenoble,chartreuse3,chartreuse3-1,x86_64,Intel Xeon,Haswell,2,16,64.0,None,10.0,1
grenoble,chartreuse3,chartreuse3-2,x86_64,Intel Xeon,Haswell,2,16,64.0,None,10.0,1
grenoble,chartreuse3,chartreuse3-3,x86_64,Intel Xeon,Haswell,2,16,64.0,None,10.0,1
grenoble,chartreuse3,chartreuse3-4,x86_64,Intel Xeon,Haswell,2,16,64.0,None,10.0,1
grenoble,chartreuse4,chartreuse4-1,x86_64,Intel Xeon,Skylake-SP,2,28,96.0,None,10.0,1
grenoble,chartreuse4,chartreuse4-2,x86_64,Intel Xeon,Skylake-SP,2,28,96.0,None,10.0,1
grenoble,chartreuse4,chartreuse4-3,x86_64,Intel Xeon,Skylake-SP,2,28,96.0,None,10.0,1
grenoble,chartreuse4,chartreuse4-4,x86_64,Intel Xeon,Skylake-SP,2,28,96.0,None,10.0,1
grenoble,chartreuse6,chartreuse6-1,x86_64,Intel Xeon,Skylake-SP,2,32,128.0,None,10.0,2
grenoble,chartreuse6,chartreuse6-2,x86_64,Intel Xeon,Skylake-SP,2,32,128.0,None,10.0,2
grenoble,chartreuse6,chartreuse6-3,x86_64,Intel Xeon,Skylake-SP,2,32,128.0,None,10.0,2
grenoble,chartreuse6,chartreuse6-4,x86_64,Intel Xeon,Skylake-SP,2,32,128.0,None,10.0,2
grenoble,chartreuse7,chartreuse7-1,x86_64,Intel Xeon,Sapphire Rapids,2,88,1024.0,None,10.0,1
grenoble,dahu,dahu-1,x86_64,Intel Xeon,Skylake-SP,2,32,192.0,None,100.0,3
grenoble,dahu,dahu-10,x86_64,Intel Xeon,Skylake-SP,2,32,192.0,None,100.0,3
grenoble,dahu,dahu-11,x86_64,Intel Xeon,Skylake-SP,2,32,192.0,None,100.0,3
grenoble,dahu,dahu-12,x86_64,Intel Xeon,Skylake-SP,2,32,192.0,None,100.0,3
grenoble,dahu,dahu-13,x86_64,Intel Xeon,Skylake-SP,2,32,192.0,None,100.0,3
grenoble,dahu,dahu-14,x86_64,Intel Xeon,Skylake-SP,2,32,192.0,None,100.0,3
grenoble,dahu,dahu-15,x86_64,Intel Xeon,Skylake-SP,2,32,192.0,None,100.0,3
grenoble,dahu,dahu-16,x86_64,Intel Xeon,Skylake-SP,2,32,192.0,None,100.0,3
grenoble,dahu,dahu-17,x86_64,Intel Xeon,Skylake-SP,2,32,192.0,None,100.0,3
grenoble,dahu,dahu-18,x86_64,Intel Xeon,Skylake-SP,2,32,192.0,None,10.0,3
grenoble,dahu,dahu-19,x86_64,Intel Xeon,Skylake-SP,2,32,192.0,None,100.0,3
grenoble,dahu,dahu-2,x86_64,Intel Xeon,Skylake-SP,2,32,192.0,None,100.0,3
grenoble,dahu,dahu-20,x86_64,Intel Xeon,Skylake-SP,2,32,192.0,None,100.0,3
grenoble,dahu,dahu-21,x86_64,Intel Xeon,Skylake-SP,2,32,192.0,None,100.0,3
grenoble,dahu,dahu-22,x86_64,Intel Xeon,Skylake-SP,2,32,192.0,None,100.0,3
grenoble,dahu,dahu-23,x86_64,Intel Xeon,Skylake-SP,2,32,192.0,None,100.0,3
grenoble,dahu,dahu-24,x86_64,Intel Xeon,Skylake-SP,2,32,192.0,None,100.0,3
grenoble,dahu,dahu-25,x86_64,Intel Xeon,Skylake-SP,2,32,192.0,None,100.0,3
